
2026-07-16 22:09:13 | LOGIN_FAILED | User=Astitva | IP=10.0.0.2
2026-07-16 22:14:30 | LOGIN_SUCCESS | User=Astitva | IP=10.0.0.2
2026-07-16 22:14:50 | SESSION_TIMEOUT | User=Astitva | IP=10.0.0.2
2026-07-16 22:15:35 | LOGIN_FAILED | User=Spidy | IP=10.0.0.2
2026-07-16 22:15:52 | LOGIN_FAILED | User=Baarish | IP=10.0.0.2
2026-07-16 22:15:58 | LOGIN_FAILED | User=Baarish | IP=10.0.0.2
2026-07-16 22:16:10 | LOGIN_FAILED | User=Baaarish | IP=10.0.0.2
2026-07-16 22:16:34 | LOGIN_SUCCESS | User=Astitva | IP=10.0.0.2
2026-07-16 22:16:54 | SESSION_TIMEOUT | User=Astitva | IP=10.0.0.2
2026-07-16 22:20:18 | LOGIN_SUCCESS | User=Astitva | IP=10.0.0.2
2026-07-16 22:20:21 | LOGOUT | User=Astitva | IP=10.0.0.2
2026-07-16 22:22:01 | LOGIN_SUCCESS | User=Astitva | IP=10.0.0.2
2026-07-16 22:22:18 | DUPLICATE_LOGIN | User=Astitva | IP=10.0.0.5
2026-07-16 22:22:21 | SESSION_TIMEOUT | User=Astitva | IP=10.0.0.2
